"bird_id","egg_id","clip_id","ring_no","min_hatch_date","min_hatch_time","max_hatch_date","max_hatch_time","nest_rear","max_death_date","max_death_time","sex"
"12_146R",NA,"R",NA,"2012-06-08","10:44","2012-06-09","11:31:00.00","12_146","2012-06-18","07:43:00.00","M"
"12_146B",NA,"B",NA,"2012-06-08","10:44","2012-06-09","11:31:00.00","12_146","2012-06-18","07:43:00.00","M"
"12_146LB",NA,"LB",NA,"2012-06-08","10:44","2012-06-09","11:31:00.00","12_146","2012-06-19","11:15:00.00","M"
"12_146RB",NA,"RB",NA,"2012-06-08","10:44","2012-06-09","11:31:00.00","12_146","2012-06-19","11:15:00.00","F"
"12_146LR",NA,"LR",NA,"2012-06-09","11:31:00.00","2012-06-10","13:26:00.00","12_146","2012-06-18","07:43:00.00","M"
"12_146A",NA,"A",NA,"2012-06-09","11:31:00.00","2012-06-10","13:26:00.00","12_146","2012-06-18","07:43:00.00","F"
"12_146N",NA,"N",NA,"2012-06-10","13:26:00.00","2012-06-12","11:19:00.00","12_146","2012-06-15","09:15:00.00",NA
"L970614",NA,"L","L970614","2012-06-09","13:00","2012-06-14","14:20:00.00","12_A39b",NA,NA,"F"
"L970615",NA,"R","L970615","2012-06-09","13:00","2012-06-14","14:20:00.00","12_A39b",NA,NA,"M"
"L970616",NA,"B","L970616","2012-06-09","13:00","2012-06-14","14:20:00.00","12_A39b",NA,NA,"M"
"L970617",NA,"N","L970617","2012-06-09","13:00","2012-06-17","13:50:00.00","12_A39b",NA,NA,"M"
"12_159L",NA,"L",NA,"2012-06-10","13:21","2012-06-13","11:31:00.00","12_159","2012-06-19",NA,"M"
"12_159R",NA,"R",NA,"2012-06-10","13:21","2012-06-13","11:31:00.00","12_159","2012-06-19",NA,"M"
"12_159B",NA,"B",NA,"2012-06-10","13:21","2012-06-13","11:31:00.00","12_159","2012-06-16","09:16:00.00","M"
"12_159LB",NA,"LB",NA,"2012-06-10","13:21","2012-06-13","11:31:00.00","12_159","2012-06-19",NA,"M"
"12_159RB",NA,"RB",NA,"2012-06-13","11:31:00.00","2012-06-14","10:56:00.00","12_159","2012-06-16","09:16:00.00",NA
"12_159LR",NA,"LR",NA,"2012-06-13","11:31:00.00","2012-06-14","10:56:00.00","12_159","2012-06-16","09:16:00.00","F"
"12_159A",NA,"A",NA,"2012-06-13","11:31:00.00","2012-06-14","10:56:00.00","12_159","2012-06-16","09:16:00.00",NA
"12_159LT",NA,"LT",NA,"2012-06-13","11:31:00.00","2012-06-14","10:56:00.00","12_159","2012-06-16","09:16:00.00","M"
"12_159N",NA,"N",NA,"2012-06-13","11:31:00.00","2012-06-14","10:56:00.00","12_159","2012-06-16","09:16:00.00","F"
"X552283",NA,NA,"X552283",NA,NA,NA,NA,NA,NA,NA,"F"
"X552281",NA,NA,"X552281",NA,NA,NA,NA,NA,NA,NA,"M"
