Ind_ID,Tarsus,Sex,InbreedingF,F_Gen,FBroodID
6038,18,1,0,4359,1780
6039,16.7,1,0,4525,1798
6040,17.9,0,0,4359,1607
6041,17,1,0,4485,1622
6042,16,1,0,4263,1680
6043,17.6,1,0,4493,1697
6044,16.6,1,0,4396,1700
6045,17,0,0,4481,1719
6046,17.2,0,0,4405,1719
6047,16.9,1,0,4231,1632
6048,16.6,0,0,4459,1650
6049,16.9,0,0,4503,1726
6050,15.9,1,0,4263,1632
6052,16.9,1,0,4224,1706
6053,16.2,0,0,4413,1686
6054,17,0,0,4485,1700
6055,16.7,0,0,4493,1726
6056,16.5,0,0,2058,1496
6057,17,0,0,4494,1644
6058,17,1,0,4231,1680
6059,15.6,1,0,4517,1762
6060,16.5,1,0,4241,1814
6061,17.3,1,0,4494,1814
6062,17.5,1,0,4362,1754
6063,18,1,0,4362,1675
